Tiempo(seg),Temperatura 1,Temperatura 2,Temperatura 3,Temperatura 4,Temperatura 5,Temperatura 6,Temperatura 7,Temperatura 8,Temperatura 9,Temperatura 10
 37.5, 849.577937001896, 849.577259410964, 849.537213202165, 849.444651533744, 849.274176947255, 848.988691489368, 848.535640379201, 847.845432337625, 846.835363871224, 845.421670796817
 38, 849.561094382151, 849.560404066414, 849.519606763165, 849.425401530816, 849.252211432436, 848.962910440315, 848.505184403107, 847.810055593442, 846.795809074398, 845.379814343223
 38.5, 849.543945113049, 849.543242228906, 849.501703073395, 849.405875526285, 849.230008255344, 848.936952304409, 848.474635833095, 847.774686952244, 846.756357360627, 845.338117873116
 39, 849.526493063283, 849.525777769298, 849.483506130707, 849.386077723047, 849.20757172551, 848.910821049509, 848.443997443366, 847.739327014506, 846.717006726886, 845.296577605138
 39.5, 849.508742146581, 849.508014603162, 849.4650199589, 849.366012312611, 849.184906091581, 848.884520540178, 848.413271898649, 847.703976323278, 846.677755208987, 845.255189874401
 40, 849.49069631439, 849.489956683494, 849.44624860156, 849.345683471264, 849.162015540903, 848.858054540908, 848.382461759565, 847.668635368276, 846.638600880996, 845.213951127486
 40.5, 849.472359549026, 849.471607993871, 849.427196116289, 849.325095356542, 849.138904199231, 848.831426719256, 848.351569487697, 847.633304589683, 846.599541854638, 845.172857917713
 41, 849.453735857229, 849.452972542037, 849.407866569326, 849.304252103981, 849.115576130556, 848.804640648865, 848.320597450397, 847.59798438169, 846.560576278692, 845.131906900683
 41.5, 849.434829264147, 849.434054353893, 849.388264030525, 849.283157824126, 849.092035337037, 848.777699812403, 848.289547925321, 847.562675095798, 846.521702338363, 845.091094830064
 42, 849.415643807697, 849.414857467881, 849.368392568686, 849.261816599808, 849.068285759028, 848.750607604392, 848.258423104732, 847.527377043887, 846.482918254659, 845.050418553602
 42.5, 849.396183533309, 849.395385929738, 849.348256247205, 849.240232483634, 849.044331275181, 848.723367333949, 848.227225099567, 847.492090501074, 846.444222283756, 845.009875009353
 43, 849.376452489019, 849.375643787607, 849.327859120049, 849.218409495715, 849.020175702639, 848.695982227432, 848.195955943287, 847.456815708387, 846.405612716365, 844.969461222111
 43.5, 849.356454720902, 849.355635087481, 849.30720522802, 849.196351621591, 848.995822797293, 848.668455430988, 848.16461759552, 847.42155287524, 846.367087877102, 844.929174300023
 44, 849.336194268827, 849.335363868978, 849.286298595295, 849.174062810354, 848.971276254094, 848.640790013018, 848.13321194551, 847.386302181755, 846.328646123847, 844.889011431386
 44.5, 849.315675162523, 849.314834161407, 849.265143226245, 849.151546972957, 848.94653970743, 848.612988966556, 848.101740815384, 847.351063780917, 846.290285847125, 844.848969881601
 45, 849.294901417921, 849.294049980138, 849.243743102491, 849.128807980683, 848.921616731552, 848.585055211554, 848.07020596324, 847.31583780059, 846.252005469476, 844.809046990291
 45.5, 849.273877033787, 849.273015323231, 849.222102180205, 849.105849663784, 848.89651084104, 848.556991597095, 848.038609086078, 847.280624345387, 846.21380344484, 844.769240168552
 46, 849.252605988601, 849.251734168335, 849.200224387631, 849.082675810264, 848.87122549131, 848.528800903519, 848.006951822569, 847.245423498426, 846.175678257946, 844.729546896352
 46.5, 849.231092237689, 849.230210469826, 849.178113622822, 849.059290164805, 848.84576407916, 848.500485844478, 847.975235755683, 847.210235322957, 846.137628423706, 844.689964720052
 47, 849.209339710587, 849.208448156185, 849.155773751569, 849.035696427821, 848.820129943345, 848.472049068909, 847.943462415173, 847.175059863889, 846.09965248662, 844.65049125005
 47.5, 849.187352308619, 849.186451127578, 849.13320860552, 849.011898254635, 848.794326365177, 848.443493162945, 847.911633279938, 847.139897149202, 846.061749020191, 844.611124158532
 48, 849.165133902687, 849.164223253661, 849.110421980475, 848.987899254768, 848.768356569153, 848.414820651748, 847.879749780249, 847.104747191275, 846.023916626346, 844.571861177343
 48.5, 849.142688331253, 849.141768371566, 849.087417634848, 848.963702991335, 848.742223723606, 848.386034001279, 847.847813299873, 847.069609988122, 845.986153934865, 844.532700095939
 49, 849.120019398505, 849.119090284077, 849.064199288281, 848.939312980545, 848.715930941365, 848.357135620008, 847.815825178077, 847.034485524536, 845.948459602824, 844.493638759454
 49.5, 849.097130872693, 849.09619275797, 849.040770620403, 848.914732691281, 848.689481280441, 848.328127860553, 847.783786711532, 846.999373773173, 845.910832314046, 844.454675066844
 50, 849.074026484629, 849.073079522523, 849.01713526973, 848.889965544776, 848.662877744724, 848.299013021267, 847.751699156116, 846.964274695541, 845.873270778558, 844.415806969112
